index,RNASEQ.SET.1.KO3P1.RPKM,RNASEQ.SET.1.KO3P2.RPKM,RNASEQ.SET.1.KOSS1.RPKM,RNASEQ.SET.1.KOSS2.RPKM,RNASEQ.SET.1.WT3P1.RPKM,RNASEQ.SET.1.WT3P2.RPKM,RNASEQ.SET.1.WTSS1.RPKM,RNASEQ.SET.1.WTSS2.RPKM,RNASEQ.SET.2.KO3P1.RPKM,RNASEQ.SET.2.KO3P2.RPKM,RNASEQ.SET.2.KOSS1.RPKM,RNASEQ.SET.2.KOSS2.RPKM,RNASEQ.SET.2.WT3P1.RPKM,RNASEQ.SET.2.WT3P2.RPKM,RNASEQ.SET.2.WTSS1.RPKM,RNASEQ.SET.2.WTSS2.RPKM,genename,V1,V2,V3
ENSG00000175029.12,6.006710033,6.951726119,4.897097422,6.277883348,3.789788214,6.178805645,6.66032092,6.144009398,11.59497969,11.62248064,11.50721133,12.05139471,8.48299145,10.11890846,11.76983224,11.78346243,CTBP2,-0.293576769,0.147817128,-0.832194583
ENSG00000234819.1,23.50381356,18.29838934,23.44135651,25.18109888,11.00339703,11.59354219,13.69755522,12.26267639,7.744733021,3.308120843,10.34517055,11.33839285,11.42512751,4.049043511,3.482154403,9.582272298,RP11-336N8.4,0.053755201,0.148261981,-0.573573379
ENSG00000169021.4,74.71372094,78.72119582,82.633787,75.86726401,82.86533803,80.05345798,81.00651144,82.0810491,49.8531333,46.62244975,45.49785107,47.27987898,45.14194826,45.29202812,46.85432202,46.7668123,UQCRFS1,-1.475005116,0.148404104,-0.126241185
ENSG00000173349.4,4.250684338,4.776664377,4.34440181,4.588490325,4.358923484,4.886271277,5.270605297,5.460363309,3.965392167,4.516788874,4.654804075,4.775399173,3.938862892,4.805954249,4.754408019,4.122598865,SFT2D3,0.369832128,0.148411193,-0.105883482
ENSG00000136243.12,4.322917862,5.097490518,4.440505495,4.398829286,4.448146146,6.148250794,5.46554879,5.249824,9.433714231,8.40528362,8.180438691,8.10007067,10.5132051,9.078729268,9.315746805,7.174224306,NUPL2,-0.137025207,0.148455356,0.459778348
ENSG00000066135.8,6.436321986,7.698208621,5.321592818,6.691179775,5.514034076,9.175388957,7.652665103,7.704916056,21.79067187,19.12006859,22.67747503,18.88430926,20.54632018,19.56411395,22.59360739,17.71139387,KDM4A,-0.79027388,0.148545328,-0.160614677
ENSG00000166133.13,8.301228066,8.250337124,9.018022082,8.45943555,9.238707886,9.559828388,8.938377018,8.859417963,8.239019093,6.63459073,8.47576688,6.638982574,8.063276124,6.588014649,6.298520884,7.500576876,RPUSD2,0.012773147,0.148685139,-0.16252089
ENSG00000225265.1,1.164128387,1.282727609,1.272672905,0.978909507,1.458115454,1.321889638,1.522704399,1.422559482,0.908003182,2.280550065,1.234934465,1.500855115,2.625415508,2.175059862,1.857549262,1.114076831,RP11-378J18.3,0.95029256,0.1490156,1.385012945
ENSG00000101017.9,4.625119214,4.591393612,4.929507715,4.87145014,5.022277943,4.794340504,4.899789247,4.735324938,2.854125992,2.260921779,3.119278619,2.646778277,2.434401325,2.51572943,2.53735533,2.487964703,CD40,0.723676986,0.14955409,-0.368972526
ENSG00000254858.5,11.22504821,13.0888479,13.38059037,10.07802639,11.86096364,11.61182258,10.32767085,9.866972941,9.784602593,7.522992186,9.540374865,7.70602987,10.239911,8.165671653,7.569404488,8.189439275,MPV17L2,-0.11475721,0.149613461,0.140080163
ENSG00000067715.9,1.106214206,1.252758404,1.088202588,1.072052846,0.591949886,0.843301498,1.051927908,0.790704402,1.55435305,1.939840494,1.516569504,2.305594492,1.540896778,1.902144667,2.233318923,1.507159321,SYT1,0.934675595,0.149775225,-0.134091067
ENSG00000214367.3,1.244266341,1.574853124,1.35016185,1.335823042,0.74793668,1.394866262,1.620845945,1.307246802,2.943590335,4.25585276,2.945572956,3.830822777,3.955451249,4.909042706,4.045842621,3.025391972,HAUS3,0.475676673,0.149822699,0.843923813
ENSG00000219274.1,409.407536,380.0610354,490.9013446,435.3185451,350.1338495,229.9611479,289.5846918,288.4275726,214.1315815,191.4696122,186.4306593,190.4349789,183.7019525,169.5829128,185.8834891,203.2394207,RPS20P2,-2.652168447,0.149839251,-0.310291772
ENSG00000111639.3,125.3041792,121.1912352,139.3210076,126.4992893,91.01019688,75.91695279,95.64052477,100.4005241,84.57198711,69.35897685,85.804785,69.07652097,77.10270497,62.88620828,73.29299938,74.61982968,MRPL51,-1.858200466,0.149880052,-0.417205851
ENSG00000236852.1,5.758930134,7.11851803,5.684904267,6.547848662,4.372377099,7.11881142,7.058281875,5.419715842,8.394322204,6.433173903,6.442700117,7.193513561,6.564409382,6.832825008,7.887386876,5.999670956,RP11-3D23.1,0.049888886,0.150042327,-0.23165621
ENSG00000174151.10,1.969673638,2.187181895,1.732215999,2.06694174,1.731206337,2.631959138,2.294356913,2.275361099,3.023485697,2.435335077,2.910994467,3.243324165,2.809978988,2.663609483,3.204316424,2.354729744,CYB561D1,0.671616506,0.150275882,-0.258919557
ENSG00000234589.3,816.1579462,748.9963998,852.2861453,819.7142568,865.940007,667.1908752,637.5456139,688.3647063,362.1907451,355.2567919,371.8438713,382.0588457,361.2058692,346.8766119,328.075946,404.738409,RP11-253E3.1,-3.205478423,0.150591913,-0.034826022
ENSG00000169955.6,2.940540553,3.14335544,3.269265971,2.815614294,2.724693266,2.424974138,2.668381171,2.666717326,4.145766065,3.486344328,2.973412319,3.876009102,3.558681291,3.318920782,3.312972239,3.576556616,ZNF747,0.525797581,0.15096422,-0.132432662
ENSG00000250846.2,1.544631844,1.442440601,0.909713073,1.41486971,0.974017541,0.987854946,1.107247093,0.994271059,0.488406587,1.37689354,1.779267662,1.176345901,0.605222971,0.835674828,1.152875444,1.208574884,RP11-807H7.1,1.218314594,0.150987615,-0.971963845
ENSG00000138867.12,12.89674231,13.18197596,11.34214601,12.18860783,13.01351304,16.00495191,14.75260959,14.80740407,17.16972196,13.81407945,15.57005045,14.42470056,15.87895303,15.75909197,13.76970671,14.92515685,GUCD1,-0.560583548,0.151285856,0.130030105
ENSG00000163159.7,25.70824473,24.70690758,24.93108708,23.50702456,23.98347642,21.69334693,20.13914599,20.90086604,17.38091899,14.93247172,18.51722416,16.35651388,15.12450587,13.72406675,15.81832803,16.41232062,VPS72,-0.589325829,0.15138846,-0.621526456
ENSG00000159202.13,13.67425799,14.50652375,12.38809249,13.88718932,12.62469853,15.14286199,12.84009169,13.14793332,21.31405812,18.7766478,20.23163104,20.00340115,18.67929903,19.36999252,20.78004239,18.54896175,UBE2Z,-0.764987481,0.151467085,-0.21429924
ENSG00000125630.11,3.776382118,4.674429551,3.018389178,3.709921314,3.185715646,6.061924416,5.048711177,4.55621918,9.907430367,9.114225641,10.94576253,8.988286077,11.92829474,10.07117465,10.63014588,8.01390562,POLR1B,-0.231002299,0.151535853,0.351945741
ENSG00000253114.2,1.129267581,1.822876077,0.489905414,1.080227385,0.855712214,2.769938847,2.171992163,1.773534884,5.290466027,7.549766198,6.745618055,6.797023303,6.108843521,6.600495586,7.095485855,6.248166594,RP11-550I15.1,0.091894811,0.151753239,-0.079813356
ENSG00000157895.7,5.001412829,5.283748726,5.052907958,4.477171848,4.306020339,4.68624667,4.469783071,4.423172978,7.344027003,7.111634159,7.342238724,5.524659452,6.179073954,5.768248644,6.500794076,6.663213474,C12orf43,0.098912774,0.151849209,-0.480048747
ENSG00000247708.3,0.379249064,0.391224911,0.339652779,0.435335503,0.397347694,0.358696573,0.366392321,0.395253158,1.279163917,0.8508918,1.246157466,1.111817348,0.765840871,0.903752153,0.916011306,1.08919175,STX18-AS1,1.223068988,0.151897849,-0.672708142
ENSG00000175691.8,3.769300433,3.933970166,3.563101974,4.354470742,2.415392971,3.241138179,3.496307741,3.295612487,4.177982087,4.458429256,4.316823133,3.643438187,4.016844174,3.70269902,4.335903789,3.782251714,ZNF77,0.434579909,0.15199036,-0.262054081
ENSG00000132016.7,1.886103723,1.898074031,1.568360737,1.771926558,1.326422498,1.585215925,1.566722735,1.83435924,4.114389418,2.911490938,4.021978947,3.309698207,3.42730023,3.330875093,3.668957477,2.969506259,C19orf57,0.541514344,0.152352314,-0.293520379
ENSG00000179981.9,0.981268792,1.115721389,0.836098929,1.137269772,0.583163744,1.386230742,1.640906696,1.518386804,3.317612559,3.422772538,3.081371017,3.279733627,2.929004794,3.004500434,3.127463274,3.258890579,TSHZ1,0.596291246,0.152474158,-0.296470764
ENSG00000235081.1,0.261412822,0.352445392,0.333418423,0.325078734,0.133328335,0.374039097,0.378268678,0.340968162,2.143196559,1.398149187,1.242130254,1.255987521,1.569338269,1.264023875,1.609675148,1.160117873,AC010492.2,1.050575563,0.152764849,-0.188400714
ENSG00000235876.2,0.800124525,0.799077248,0.237580703,0.873097726,0.374835806,1.367456914,1.170844234,0.94975408,3.445568189,2.61519689,3.717388913,2.190478024,2.518013004,2.248583526,3.336699538,2.295501567,FEM1AP4,0.695369459,0.152844871,-0.782844009
ENSG00000097046.8,9.560277532,10.44099481,8.668998122,9.202492814,8.204408562,12.01514208,11.82908399,10.12740946,21.97389565,28.39560776,24.50396152,25.85607637,25.96027695,30.62213805,29.35981532,22.33689176,CDC7,-1.003828263,0.153051707,0.525178073
ENSG00000182979.13,28.79055514,27.95886512,25.20055438,27.64542708,23.54276668,26.24718253,27.99809326,28.35607216,30.03512152,28.94273216,26.61297959,30.64985799,23.38089018,27.88968738,25.5563832,32.37972821,MTA1,-1.049724113,0.153176459,-0.396519135
ENSG00000232586.1,0.995017682,0.745578181,1.072892856,1.00135364,0.967704464,1.243306608,1.152531667,1.127664247,0.914308759,1.640276585,0.932632799,1.269473285,1.208524599,0.851730617,1.582687539,0.923846392,RP11-46A10.4,1.161413108,0.153409596,-0.26728204
ENSG00000104863.7,8.56544537,6.926773113,8.837748337,8.392691588,8.442596609,6.60849524,6.196113932,5.808268014,3.204513986,3.054114531,2.809070839,3.128422471,2.54389947,3.548241313,2.009240832,3.902876452,LIN7B,0.62866733,0.153471504,0.030480222
ENSG00000241932.1,1.999122284,2.473592712,2.384206346,1.877538075,2.224607963,1.690246891,1.600738426,2.167282637,2.167250393,1.944031508,2.072517332,2.686715947,0.671402555,1.622344033,2.557878851,2.052991982,RP11-14K2.1,0.934194626,0.153609857,-1.732000467
ENSG00000263369.2,0.043909946,0.135316203,0.064005539,0.403229654,0.107497834,0.235604884,0.298354315,0.098182267,2.749062579,2.113644995,1.502227328,1.168450962,1.459962603,0.587963609,1.854032993,1.700656828,RP11-640N20.9,1.030484725,0.153646639,-1.471868958
ENSG00000130005.7,58.79294377,52.42555481,66.68100048,55.47752526,67.32464504,46.88623905,47.72691103,50.6762775,25.48918267,21.91311421,24.32675318,22.62588712,19.01393504,18.6396974,21.08815934,24.91721411,GAMT,-0.847488469,0.154106345,-0.851835831
ENSG00000119471.10,11.05516464,12.00535728,11.4566118,10.74027858,10.09012633,12.16842286,13.0769574,11.94044139,13.61698163,17.77480617,14.31746561,17.08238106,14.51278889,16.78597815,16.31119735,15.56691675,HSDL2,-0.588130965,0.154221328,0.101747341
